V4_1,data marking,time_codelist,time,geography_codelist,geography,estimate_codelist,estimate,measureofwellbeing_codelist,measure of wellbeing
10.03,,year ending,2012 Q3 - 2013 Q2,E92000001,England,poor,Poor,happiness,Happiness
7.46,,year ending,2014 Q2 - 2015 Q1,S92000003,Scotland,mean-average,Mean Average,happiness,Happiness
40.22,,year ending,2014 Q3 - 2015 Q2,W92000004,Wales,good,Good,happiness,Happiness
35.86,,year ending,2015 Q1 - 2015 Q4,N92000002,Northern Ireland,good,Good,happiness,Happiness
40.61,,year ending,2015 Q3 - 2016 Q2,E92000001,England,good,Good,happiness,Happiness
9.72,,year ending,2015 Q3 - 2016 Q2,W92000004,Wales,poor,Poor,happiness,Happiness
16.69,,year ending,2016 Q2 - 2017 Q1,S92000003,Scotland,fair,Fair,happiness,Happiness
8.85,,year ending,2016 Q3 - 2017 Q2,W92000004,Wales,poor,Poor,happiness,Happiness
2.97,,year ending,2012 Q4 - 2013 Q3,E92000001,England,mean-average,Mean Average,anxiety,Anxiety
17.37,,year ending,2013 Q2 - 2014 Q1,N92000002,Northern Ireland,poor,Poor,anxiety,Anxiety
2.96,,year ending,2013 Q3 - 2014 Q2,W92000004,Wales,mean-average,Mean Average,anxiety,Anxiety
26.43,,year ending,2014 Q1 - 2014 Q4,N92000002,Northern Ireland,good,Good,anxiety,Anxiety
47.03,,year ending,2016 Q1 - 2016 Q4,N92000002,Northern Ireland,very-good,Very good,anxiety,Anxiety
13.22,,year ending,2016 Q1 - 2016 Q4,N92000002,Northern Ireland,fair,Fair,anxiety,Anxiety
23.11,,year ending,2016 Q2 - 2017 Q1,S92000003,Scotland,good,Good,anxiety,Anxiety
26.13,,year ending,2011 Q3 - 2012 Q2,K02000001,United Kingdom,very-good,Very good,life-satisfaction,Life Satisfaction
7.61,,year ending,2014 Q2 - 2015 Q1,K02000001,United Kingdom,mean-average,Mean Average,life-satisfaction,Life Satisfaction
36.7,,year ending,2011 Q2 - 2012 Q1,K02000001,United Kingdom,very-good,Very good,anxiety,Anxiety
19.85,,year ending,2016 Q2 - 2017 Q1,K02000001,United Kingdom,poor,Poor,anxiety,Anxiety
51.42,,year ending,2012 Q2 - 2013 Q1,S92000003,Scotland,good,Good,life-satisfaction,Life Satisfaction
15.22,,year ending,2013 Q4 - 2014 Q3,N92000002,Northern Ireland,fair,Fair,life-satisfaction,Life Satisfaction
13.8,,year ending,2015 Q1 - 2015 Q4,S92000003,Scotland,fair,Fair,life-satisfaction,Life Satisfaction
50.37,,year ending,2016 Q1 - 2016 Q4,W92000004,Wales,good,Good,life-satisfaction,Life Satisfaction
15.04,,year ending,2011 Q2 - 2012 Q1,W92000004,Wales,fair,Fair,worthwhile,Worthwhile
49.54,,year ending,2012 Q2 - 2013 Q1,E92000001,England,good,Good,worthwhile,Worthwhile
3.16,,year ending,2013 Q3 - 2014 Q2,N92000002,Northern Ireland,poor,Poor,worthwhile,Worthwhile
7.82,,year ending,2015 Q4 - 2016 Q3,S92000003,Scotland,mean-average,Mean Average,worthwhile,Worthwhile
48.52,,year ending,2016 Q3 - 2017 Q2,E92000001,England,good,Good,worthwhile,Worthwhile
3.59,,year ending,2016 Q4 - 2017 Q3,E92000001,England,poor,Poor,worthwhile,Worthwhile
40.19,,year ending,2012 Q1 - 2012 Q4,E92000001,England,good,Good,happiness,Happiness
7.43,,year ending,2014 Q1 - 2014 Q4,E92000001,England,mean-average,Mean Average,happiness,Happiness
40.65,,year ending,2015 Q2 - 2016 Q1,E92000001,England,good,Good,happiness,Happiness
39.17,,year ending,2016 Q2 - 2017 Q1,N92000002,Northern Ireland,good,Good,happiness,Happiness
14.65,,year ending,2016 Q3 - 2017 Q2,N92000002,Northern Ireland,fair,Fair,happiness,Happiness
13.68,,year ending,2016 Q4 - 2017 Q3,N92000002,Northern Ireland,fair,Fair,happiness,Happiness
3,,year ending,2012 Q3 - 2013 Q2,W92000004,Wales,mean-average,Mean Average,anxiety,Anxiety
2.93,,year ending,2012 Q3 - 2013 Q2,S92000003,Scotland,mean-average,Mean Average,anxiety,Anxiety
21.95,,year ending,2012 Q4 - 2013 Q3,W92000004,Wales,good,Good,anxiety,Anxiety
13.85,,year ending,2012 Q4 - 2013 Q3,N92000002,Northern Ireland,fair,Fair,anxiety,Anxiety
40.09,,year ending,2013 Q1 - 2013 Q4,N92000002,Northern Ireland,very-good,Very good,anxiety,Anxiety
41.65,,year ending,2013 Q4 - 2014 Q3,S92000003,Scotland,very-good,Very good,anxiety,Anxiety
43.44,,year ending,2014 Q3 - 2015 Q2,N92000002,Northern Ireland,very-good,Very good,anxiety,Anxiety
23.38,,year ending,2015 Q1 - 2015 Q4,S92000003,Scotland,good,Good,anxiety,Anxiety
14.85,,year ending,2011 Q4 - 2012 Q3,K02000001,United Kingdom,fair,Fair,worthwhile,Worthwhile
9.8,,year ending,2013 Q1 - 2013 Q4,K02000001,United Kingdom,poor,Poor,happiness,Happiness
3.03,,year ending,2012 Q1 - 2012 Q4,K02000001,United Kingdom,mean-average,Mean Average,anxiety,Anxiety
33.86,,year ending,2014 Q1 - 2014 Q4,K02000001,United Kingdom,very-good,Very good,worthwhile,Worthwhile
7.65,,year ending,2015 Q3 - 2016 Q2,K02000001,United Kingdom,mean-average,Mean Average,life-satisfaction,Life Satisfaction
7.63,,year ending,2014 Q3 - 2015 Q2,K02000001,United Kingdom,mean-average,Mean Average,life-satisfaction,Life Satisfaction
4.38,,year ending,2012 Q1 - 2012 Q4,K02000001,United Kingdom,poor,Poor,worthwhile,Worthwhile
13.47,,year ending,2016 Q4 - 2017 Q3,K02000001,United Kingdom,fair,Fair,life-satisfaction,Life Satisfaction
26.03,,year ending,2012 Q2 - 2013 Q1,K02000001,United Kingdom,very-good,Very good,life-satisfaction,Life Satisfaction
4.74,,year ending,2014 Q2 - 2015 Q1,K02000001,United Kingdom,poor,Poor,life-satisfaction,Life Satisfaction
51.62,,year ending,2013 Q2 - 2014 Q1,K02000001,United Kingdom,good,Good,life-satisfaction,Life Satisfaction
7.49,,year ending,2012 Q4 - 2013 Q3,K02000001,United Kingdom,mean-average,Mean Average,life-satisfaction,Life Satisfaction
17.28,,year ending,2011 Q4 - 2012 Q3,K02000001,United Kingdom,fair,Fair,life-satisfaction,Life Satisfaction
5.71,,year ending,2012 Q2 - 2013 Q1,K02000001,United Kingdom,poor,Poor,life-satisfaction,Life Satisfaction
17.1,,year ending,2012 Q2 - 2013 Q1,K02000001,United Kingdom,fair,Fair,life-satisfaction,Life Satisfaction
7.84,,year ending,2015 Q2 - 2016 Q1,K02000001,United Kingdom,mean-average,Mean Average,worthwhile,Worthwhile
14.15,,year ending,2013 Q1 - 2013 Q4,K02000001,United Kingdom,fair,Fair,worthwhile,Worthwhile
4.98,,year ending,2014 Q1 - 2014 Q4,K02000001,United Kingdom,poor,Poor,life-satisfaction,Life Satisfaction
7.65,,year ending,2015 Q2 - 2016 Q1,K02000001,United Kingdom,mean-average,Mean Average,life-satisfaction,Life Satisfaction
7.84,,year ending,2015 Q3 - 2016 Q2,K02000001,United Kingdom,mean-average,Mean Average,worthwhile,Worthwhile
10.74,,year ending,2011 Q2 - 2012 Q1,K02000001,United Kingdom,poor,Poor,happiness,Happiness
27.51,,year ending,2013 Q3 - 2014 Q2,K02000001,United Kingdom,very-good,Very good,life-satisfaction,Life Satisfaction
16.61,,year ending,2015 Q2 - 2016 Q1,K02000001,United Kingdom,fair,Fair,anxiety,Anxiety
29.15,,year ending,2015 Q2 - 2016 Q1,K02000001,United Kingdom,very-good,Very good,life-satisfaction,Life Satisfaction
21.24,,year ending,2011 Q3 - 2012 Q2,K02000001,United Kingdom,poor,Poor,anxiety,Anxiety
34.46,,year ending,2015 Q1 - 2015 Q4,K02000001,United Kingdom,very-good,Very good,worthwhile,Worthwhile
49.46,,year ending,2012 Q2 - 2013 Q1,K02000001,United Kingdom,good,Good,worthwhile,Worthwhile
7.65,,year ending,2014 Q4 - 2015 Q3,K02000001,United Kingdom,mean-average,Mean Average,life-satisfaction,Life Satisfaction
5.31,,year ending,2013 Q3 - 2014 Q2,K02000001,United Kingdom,poor,Poor,life-satisfaction,Life Satisfaction
27.76,,year ending,2013 Q4 - 2014 Q3,K02000001,United Kingdom,very-good,Very good,life-satisfaction,Life Satisfaction
15.42,,year ending,2013 Q4 - 2014 Q3,K02000001,United Kingdom,fair,Fair,life-satisfaction,Life Satisfaction
29.63,,year ending,2016 Q1 - 2016 Q4,K02000001,United Kingdom,very-good,Very good,life-satisfaction,Life Satisfaction
29.24,,year ending,2015 Q3 - 2016 Q2,K02000001,United Kingdom,very-good,Very good,life-satisfaction,Life Satisfaction
3.67,,year ending,2016 Q2 - 2017 Q1,K02000001,United Kingdom,poor,Poor,worthwhile,Worthwhile
51.33,,year ending,2012 Q3 - 2013 Q2,K02000001,United Kingdom,good,Good,life-satisfaction,Life Satisfaction
4.54,,year ending,2016 Q3 - 2017 Q2,K02000001,United Kingdom,poor,Poor,life-satisfaction,Life Satisfaction
7.31,,year ending,2012 Q1 - 2012 Q4,K02000001,United Kingdom,mean-average,Mean Average,happiness,Happiness
48.99,,year ending,2016 Q1 - 2016 Q4,K02000001,United Kingdom,good,Good,worthwhile,Worthwhile
33.38,,year ending,2013 Q4 - 2014 Q3,K02000001,United Kingdom,very-good,Very good,worthwhile,Worthwhile
35.13,,year ending,2016 Q2 - 2017 Q1,K02000001,United Kingdom,very-good,Very good,worthwhile,Worthwhile
31.49,,year ending,2012 Q1 - 2012 Q4,K02000001,United Kingdom,very-good,Very good,happiness,Happiness
7.69,,year ending,2016 Q4 - 2017 Q3,K02000001,United Kingdom,mean-average,Mean Average,life-satisfaction,Life Satisfaction
23.34,,year ending,2016 Q2 - 2017 Q1,K02000001,United Kingdom,good,Good,anxiety,Anxiety
34.57,,year ending,2015 Q4 - 2016 Q3,K02000001,United Kingdom,very-good,Very good,worthwhile,Worthwhile
19.36,,year ending,2014 Q2 - 2015 Q1,K02000001,United Kingdom,poor,Poor,anxiety,Anxiety
13.57,,year ending,2016 Q3 - 2017 Q2,K02000001,United Kingdom,fair,Fair,life-satisfaction,Life Satisfaction
14.26,,year ending,2012 Q4 - 2013 Q3,K02000001,United Kingdom,fair,Fair,worthwhile,Worthwhile
14.81,,year ending,2014 Q2 - 2015 Q1,K02000001,United Kingdom,fair,Fair,life-satisfaction,Life Satisfaction
7.67,,year ending,2016 Q1 - 2016 Q4,K02000001,United Kingdom,mean-average,Mean Average,life-satisfaction,Life Satisfaction
4.31,,year ending,2013 Q1 - 2013 Q4,K02000001,United Kingdom,poor,Poor,worthwhile,Worthwhile
31.5,,year ending,2012 Q1 - 2012 Q4,K02000001,United Kingdom,very-good,Very good,worthwhile,Worthwhile
7.46,,year ending,2014 Q2 - 2015 Q1,K02000001,United Kingdom,mean-average,Mean Average,happiness,Happiness
18.12,,year ending,2011 Q4 - 2012 Q3,K02000001,United Kingdom,fair,Fair,happiness,Happiness
31.47,,year ending,2011 Q2 - 2012 Q1,K02000001,United Kingdom,very-good,Very good,worthwhile,Worthwhile
5.65,,year ending,2013 Q1 - 2013 Q4,K02000001,United Kingdom,poor,Poor,life-satisfaction,Life Satisfaction
12.3,,year ending,2016 Q2 - 2017 Q1,K02000001,United Kingdom,fair,Fair,worthwhile,Worthwhile
40.47,,year ending,2013 Q4 - 2014 Q3,K02000001,United Kingdom,good,Good,happiness,Happiness
33.36,,year ending,2013 Q3 - 2014 Q2,K02000001,United Kingdom,very-good,Very good,happiness,Happiness
7.48,,year ending,2015 Q1 - 2015 Q4,K02000001,United Kingdom,mean-average,Mean Average,happiness,Happiness
4.77,,year ending,2011 Q2 - 2012 Q1,K02000001,United Kingdom,poor,Poor,worthwhile,Worthwhile
17.98,,year ending,2012 Q2 - 2013 Q1,K02000001,United Kingdom,fair,Fair,happiness,Happiness
35.59,,year ending,2016 Q4 - 2017 Q3,K02000001,United Kingdom,very-good,Very good,worthwhile,Worthwhile
50.75,,year ending,2011 Q4 - 2012 Q3,E92000001,England,good,Good,life-satisfaction,Life Satisfaction
12.77,,year ending,2015 Q1 - 2015 Q4,K02000001,United Kingdom,fair,Fair,worthwhile,Worthwhile
28.25,,year ending,2013 Q1 - 2013 Q4,S92000003,Scotland,very-good,Very good,life-satisfaction,Life Satisfaction
7.68,,year ending,2016 Q2 - 2017 Q1,K02000001,United Kingdom,mean-average,Mean Average,life-satisfaction,Life Satisfaction
7.87,,year ending,2016 Q3 - 2017 Q2,K02000001,United Kingdom,mean-average,Mean Average,worthwhile,Worthwhile
39.34,,year ending,2011 Q2 - 2012 Q1,K02000001,United Kingdom,good,Good,happiness,Happiness
4.34,,year ending,2012 Q2 - 2013 Q1,K02000001,United Kingdom,poor,Poor,worthwhile,Worthwhile
23.45,,year ending,2011 Q4 - 2012 Q3,K02000001,United Kingdom,good,Good,anxiety,Anxiety
7.73,,year ending,2013 Q1 - 2013 Q4,K02000001,United Kingdom,mean-average,Mean Average,worthwhile,Worthwhile
14.97,,year ending,2011 Q3 - 2012 Q2,K02000001,United Kingdom,fair,Fair,worthwhile,Worthwhile
34.21,,year ending,2014 Q4 - 2015 Q3,K02000001,United Kingdom,very-good,Very good,happiness,Happiness
7.29,,year ending,2011 Q2 - 2012 Q1,K02000001,United Kingdom,mean-average,Mean Average,happiness,Happiness
7.66,,year ending,2015 Q4 - 2016 Q3,K02000001,United Kingdom,mean-average,Mean Average,life-satisfaction,Life Satisfaction
2.89,,year ending,2016 Q1 - 2016 Q4,K02000001,United Kingdom,mean-average,Mean Average,anxiety,Anxiety
34.92,,year ending,2016 Q4 - 2017 Q3,K02000001,United Kingdom,very-good,Very good,happiness,Happiness
4.63,,year ending,2011 Q3 - 2012 Q2,K02000001,United Kingdom,poor,Poor,worthwhile,Worthwhile
20.97,,year ending,2011 Q4 - 2012 Q3,K02000001,United Kingdom,poor,Poor,anxiety,Anxiety
31.9,,year ending,2011 Q2 - 2012 Q1,K02000001,United Kingdom,very-good,Very good,happiness,Happiness
2.84,,year ending,2014 Q3 - 2015 Q2,K02000001,United Kingdom,mean-average,Mean Average,anxiety,Anxiety
8.81,,year ending,2015 Q2 - 2016 Q1,K02000001,United Kingdom,poor,Poor,happiness,Happiness
7.06,,year ending,2011 Q4 - 2012 Q3,W92000004,Wales,poor,Poor,life-satisfaction,Life Satisfaction
31.39,,year ending,2012 Q2 - 2013 Q1,K02000001,United Kingdom,very-good,Very good,worthwhile,Worthwhile
5.5,,year ending,2014 Q4 - 2015 Q3,W92000004,Wales,poor,Poor,life-satisfaction,Life Satisfaction
9.62,,year ending,2013 Q2 - 2014 Q1,K02000001,United Kingdom,poor,Poor,happiness,Happiness
48.56,,year ending,2016 Q3 - 2017 Q2,K02000001,United Kingdom,good,Good,worthwhile,Worthwhile
23.41,,year ending,2016 Q1 - 2016 Q4,K02000001,United Kingdom,good,Good,anxiety,Anxiety
3.62,,year ending,2015 Q2 - 2016 Q1,K02000001,United Kingdom,poor,Poor,worthwhile,Worthwhile
14.48,,year ending,2012 Q3 - 2013 Q2,K02000001,United Kingdom,fair,Fair,worthwhile,Worthwhile
49.1,,year ending,2014 Q1 - 2014 Q4,K02000001,United Kingdom,good,Good,worthwhile,Worthwhile
34.06,,year ending,2015 Q3 - 2016 Q2,K02000001,United Kingdom,very-good,Very good,happiness,Happiness
35.08,,year ending,2016 Q3 - 2017 Q2,K02000001,United Kingdom,very-good,Very good,happiness,Happiness
33.29,,year ending,2012 Q4 - 2013 Q3,N92000002,Northern Ireland,very-good,Very good,life-satisfaction,Life Satisfaction
51.99,,year ending,2016 Q1 - 2016 Q4,K02000001,United Kingdom,good,Good,life-satisfaction,Life Satisfaction
49.27,,year ending,2012 Q4 - 2013 Q3,K02000001,United Kingdom,good,Good,worthwhile,Worthwhile
17.58,,year ending,2012 Q2 - 2013 Q1,K02000001,United Kingdom,fair,Fair,anxiety,Anxiety
33.72,,year ending,2014 Q1 - 2014 Q4,K02000001,United Kingdom,very-good,Very good,happiness,Happiness
2.9,,year ending,2015 Q4 - 2016 Q3,K02000001,United Kingdom,mean-average,Mean Average,anxiety,Anxiety
17.87,,year ending,2011 Q4 - 2012 Q3,K02000001,United Kingdom,fair,Fair,anxiety,Anxiety
25.87,,year ending,2011 Q2 - 2012 Q1,E92000001,England,very-good,Very good,life-satisfaction,Life Satisfaction
31.06,,year ending,2012 Q2 - 2013 Q1,K02000001,United Kingdom,very-good,Very good,happiness,Happiness
6.11,,year ending,2013 Q1 - 2013 Q4,W92000004,Wales,poor,Poor,life-satisfaction,Life Satisfaction
16.81,,year ending,2013 Q3 - 2014 Q2,K02000001,United Kingdom,fair,Fair,happiness,Happiness
14.89,,year ending,2014 Q4 - 2015 Q3,W92000004,Wales,fair,Fair,life-satisfaction,Life Satisfaction
7.49,,year ending,2012 Q4 - 2013 Q3,W92000004,Wales,mean-average,Mean Average,life-satisfaction,Life Satisfaction
10.44,,year ending,2011 Q4 - 2012 Q3,K02000001,United Kingdom,poor,Poor,happiness,Happiness
3.56,,year ending,2015 Q1 - 2015 Q4,K02000001,United Kingdom,poor,Poor,worthwhile,Worthwhile
3.63,,year ending,2016 Q4 - 2017 Q3,K02000001,United Kingdom,poor,Poor,worthwhile,Worthwhile
16.3,,year ending,2016 Q2 - 2017 Q1,K02000001,United Kingdom,fair,Fair,happiness,Happiness
49.22,,year ending,2015 Q1 - 2015 Q4,K02000001,United Kingdom,good,Good,worthwhile,Worthwhile
28.71,,year ending,2014 Q2 - 2015 Q1,W92000004,Wales,very-good,Very good,life-satisfaction,Life Satisfaction
16.09,,year ending,2011 Q3 - 2012 Q2,N92000002,Northern Ireland,fair,Fair,life-satisfaction,Life Satisfaction
10.38,,year ending,2012 Q1 - 2012 Q4,K02000001,United Kingdom,poor,Poor,happiness,Happiness
51.74,,year ending,2016 Q2 - 2017 Q1,K02000001,United Kingdom,good,Good,life-satisfaction,Life Satisfaction
5.85,,year ending,2012 Q1 - 2012 Q4,K02000001,United Kingdom,poor,Poor,life-satisfaction,Life Satisfaction
40.95,,year ending,2015 Q1 - 2015 Q4,K02000001,United Kingdom,very-good,Very good,anxiety,Anxiety
20.07,,year ending,2013 Q1 - 2013 Q4,K02000001,United Kingdom,poor,Poor,anxiety,Anxiety
19.67,,year ending,2014 Q1 - 2014 Q4,K02000001,United Kingdom,poor,Poor,anxiety,Anxiety
47.72,,year ending,2012 Q1 - 2012 Q4,N92000002,Northern Ireland,good,Good,life-satisfaction,Life Satisfaction
16.01,,year ending,2011 Q3 - 2012 Q2,S92000003,Scotland,fair,Fair,life-satisfaction,Life Satisfaction
29.33,,year ending,2016 Q1 - 2016 Q4,S92000003,Scotland,very-good,Very good,life-satisfaction,Life Satisfaction
41,,year ending,2012 Q4 - 2013 Q3,K02000001,United Kingdom,good,Good,happiness,Happiness
5.08,,year ending,2015 Q3 - 2016 Q2,W92000004,Wales,poor,Poor,life-satisfaction,Life Satisfaction
16.49,,year ending,2015 Q1 - 2015 Q4,K02000001,United Kingdom,fair,Fair,happiness,Happiness
10.26,,year ending,2012 Q2 - 2013 Q1,K02000001,United Kingdom,poor,Poor,happiness,Happiness
27.08,,year ending,2013 Q3 - 2014 Q2,E92000001,England,very-good,Very good,life-satisfaction,Life Satisfaction
10.03,,year ending,2012 Q3 - 2013 Q2,K02000001,United Kingdom,poor,Poor,happiness,Happiness
34.92,,year ending,2016 Q1 - 2016 Q4,K02000001,United Kingdom,very-good,Very good,worthwhile,Worthwhile
34.37,,year ending,2015 Q2 - 2016 Q1,K02000001,United Kingdom,very-good,Very good,worthwhile,Worthwhile
16.19,,year ending,2016 Q4 - 2017 Q3,K02000001,United Kingdom,fair,Fair,happiness,Happiness
50.98,,year ending,2012 Q1 - 2012 Q4,S92000003,Scotland,good,Good,life-satisfaction,Life Satisfaction
4.44,,year ending,2015 Q2 - 2016 Q1,N92000002,Northern Ireland,poor,Poor,life-satisfaction,Life Satisfaction
40.37,,year ending,2014 Q1 - 2014 Q4,K02000001,United Kingdom,good,Good,happiness,Happiness
38.05,,year ending,2012 Q1 - 2012 Q4,K02000001,United Kingdom,very-good,Very good,anxiety,Anxiety
23.43,,year ending,2016 Q4 - 2017 Q3,K02000001,United Kingdom,good,Good,anxiety,Anxiety
4.55,,year ending,2014 Q4 - 2015 Q3,K02000001,United Kingdom,poor,Poor,life-satisfaction,Life Satisfaction
16.54,,year ending,2015 Q1 - 2015 Q4,K02000001,United Kingdom,fair,Fair,anxiety,Anxiety
50.01,,year ending,2011 Q2 - 2012 Q1,E92000001,England,good,Good,life-satisfaction,Life Satisfaction
27.76,,year ending,2012 Q3 - 2013 Q2,S92000003,Scotland,very-good,Very good,life-satisfaction,Life Satisfaction
51.35,,year ending,2012 Q2 - 2013 Q1,E92000001,England,good,Good,life-satisfaction,Life Satisfaction
8.72,,year ending,2014 Q4 - 2015 Q3,K02000001,United Kingdom,poor,Poor,happiness,Happiness
7.68,,year ending,2016 Q4 - 2017 Q3,W92000004,Wales,mean-average,Mean Average,life-satisfaction,Life Satisfaction
32.33,,year ending,2013 Q1 - 2013 Q4,K02000001,United Kingdom,very-good,Very good,worthwhile,Worthwhile
19.46,,year ending,2015 Q2 - 2016 Q1,K02000001,United Kingdom,poor,Poor,anxiety,Anxiety
38.6,,year ending,2015 Q3 - 2016 Q2,N92000002,Northern Ireland,very-good,Very good,life-satisfaction,Life Satisfaction
7.45,,year ending,2012 Q1 - 2012 Q4,K02000001,United Kingdom,mean-average,Mean Average,life-satisfaction,Life Satisfaction
7.69,,year ending,2015 Q1 - 2015 Q4,S92000003,Scotland,mean-average,Mean Average,life-satisfaction,Life Satisfaction
23.47,,year ending,2011 Q3 - 2012 Q2,K02000001,United Kingdom,good,Good,anxiety,Anxiety
26.92,,year ending,2013 Q2 - 2014 Q1,K02000001,United Kingdom,very-good,Very good,life-satisfaction,Life Satisfaction
3.03,,year ending,2012 Q2 - 2013 Q1,K02000001,United Kingdom,mean-average,Mean Average,anxiety,Anxiety
51.92,,year ending,2014 Q4 - 2015 Q3,K02000001,United Kingdom,good,Good,life-satisfaction,Life Satisfaction
20.52,,year ending,2012 Q3 - 2013 Q2,K02000001,United Kingdom,poor,Poor,anxiety,Anxiety
50.21,,year ending,2011 Q3 - 2012 Q2,K02000001,United Kingdom,good,Good,life-satisfaction,Life Satisfaction
19.67,,year ending,2015 Q3 - 2016 Q2,K02000001,United Kingdom,poor,Poor,anxiety,Anxiety
16.99,,year ending,2013 Q2 - 2014 Q1,K02000001,United Kingdom,fair,Fair,happiness,Happiness
49.83,,year ending,2011 Q2 - 2012 Q1,K02000001,United Kingdom,good,Good,life-satisfaction,Life Satisfaction
29.46,,year ending,2015 Q3 - 2016 Q2,W92000004,Wales,very-good,Very good,life-satisfaction,Life Satisfaction
7.55,,year ending,2013 Q4 - 2014 Q3,W92000004,Wales,mean-average,Mean Average,life-satisfaction,Life Satisfaction
7.42,,year ending,2011 Q2 - 2012 Q1,K02000001,United Kingdom,mean-average,Mean Average,life-satisfaction,Life Satisfaction
16.96,,year ending,2013 Q1 - 2013 Q4,K02000001,United Kingdom,fair,Fair,anxiety,Anxiety
7.52,,year ending,2016 Q4 - 2017 Q3,K02000001,United Kingdom,mean-average,Mean Average,happiness,Happiness
30.16,,year ending,2016 Q4 - 2017 Q3,K02000001,United Kingdom,very-good,Very good,life-satisfaction,Life Satisfaction
48.94,,year ending,2011 Q3 - 2012 Q2,K02000001,United Kingdom,good,Good,worthwhile,Worthwhile
25.84,,year ending,2011 Q3 - 2012 Q2,E92000001,England,very-good,Very good,life-satisfaction,Life Satisfaction
